file,track_index,track_name,channel,instrument,all_program_changes,notes_count,lowest_note,highest_note,duration_ticks,tempos,signatures,keys,format,resolution,total_tracks,total_duration_ticks
"H72.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",60,52,64,4766,"69|69|69|69|69","6/4|9/4|6/4|9/4|6/4|9/4|6/4|9/4|6/4|9/4","",1,96,5,4766
"H72.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",62,43,55,4766,"69|69|69|69|69","6/4|9/4|6/4|9/4|6/4|9/4|6/4|9/4|6/4|9/4","",1,96,5,4766
"H66.mid",0,"",-1,,"",0,,,96,"100|100|100|100|100","1/4|4/4|1/4|4/4|1/4|4/4|1/4|4/4|1/4|4/4","",1,96,5,6201
"H66.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",47,63,77,6201,"100|100|100|100|100","1/4|4/4|1/4|4/4|1/4|4/4|1/4|4/4|1/4|4/4","",1,96,5,6201
"H66.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",56,58,70,6201,"100|100|100|100|100","1/4|4/4|1/4|4/4|1/4|4/4|1/4|4/4|1/4|4/4","",1,96,5,6201
"H66.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",54,51,63,6201,"100|100|100|100|100","1/4|4/4|1/4|4/4|1/4|4/4|1/4|4/4|1/4|4/4","",1,96,5,6201
"H66.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",56,44,58,6201,"100|100|100|100|100","1/4|4/4|1/4|4/4|1/4|4/4|1/4|4/4|1/4|4/4","",1,96,5,6201
"H372.mid",0,"",-1,,"",0,,,4416,"89|89|89|89|89","2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4","",1,96,5,4761
"H372.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",58,60,75,4761,"89|89|89|89|89","2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4","",1,96,5,4761
"H372.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",57,56,70,4761,"89|89|89|89|89","2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4","",1,96,5,4761
"H372.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",57,50,63,4761,"89|89|89|89|89","2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4","",1,96,5,4761
"H372.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",57,41,58,4761,"89|89|89|89|89","2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4|2/4|4/4|5/4","",1,96,5,4761
"H414.mid",0,"",-1,,"",0,,,0,"140","4/4","",1,240,5,22944
"H414.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",52,62,77,22944,"140","4/4","",1,240,5,22944
"H414.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",52,58,68,22944,"140","4/4","",1,240,5,22944
"H414.mid",3,"T�nor",2,Acoustic Grand Piano,"Acoustic Grand Piano",53,55,63,22944,"140","4/4","",1,240,5,22944
"H414.mid",4,"Basse",3,Acoustic Grand Piano,"Acoustic Grand Piano",54,43,58,22944,"140","4/4","",1,240,5,22944
"H400.mid",0,"",-1,,"",0,,,4704,"80|80|80|80|80","6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4","",1,96,5,5452
"H400.mid",1,"Soprano",0,Acoustic Grand Piano,"Acoustic Grand Piano",83,62,77,5452,"80|80|80|80|80","6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4","",1,96,5,5452
"H400.mid",2,"Alto",1,Acoustic Grand Piano,"Acoustic Grand Piano",86,59,67,5452,"80|80|80|80|80","6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4|6/4|9/4|5/4|1/4|6/4|9/4|2/4","",1,96,5,5452
